,Số hiệu chuyến bay,Khởi hành,Đến,Airbus,SkyBOSS_Business,SkyBOSS,Deluxe,Eco
0,VJ634,2023-04-21 16:05:00,2023-04-21 17:25:00,Airbus A320,,2338000.0,1829000.0,1379000.0
1,VJ636,2023-04-21 18:20:00,2023-04-21 19:40:00,Airbus A321,,2338000.0,1219000.0,869000.0
2,VJ638,2023-04-21 19:45:00,2023-04-21 21:05:00,Airbus A321,,2338000.0,989000.0,699000.0
3,VJ640,2023-04-21 20:35:00,2023-04-21 21:50:00,Airbus A321,,2838000.0,2120000.0,1655000.0
4,VJ620,2023-04-22 05:35:00,2023-04-22 06:55:00,Airbus A321,,2338000.0,549000.0,299000.0
5,VJ622,2023-04-22 07:05:00,2023-04-22 08:25:00,Airbus A321,,2338000.0,629000.0,379000.0
6,VJ624,2023-04-22 09:35:00,2023-04-22 10:55:00,Airbus A321,,2338000.0,1069000.0,779000.0
7,VJ628,2023-04-22 11:30:00,2023-04-22 12:50:00,Airbus A321,,2338000.0,1219000.0,869000.0
8,VJ632,2023-04-22 15:40:00,2023-04-22 17:00:00,Airbus A321,,2838000.0,2120000.0,1655000.0
9,VJ634,2023-04-22 16:05:00,2023-04-22 17:25:00,Airbus A321,,2338000.0,909000.0,619000.0
10,VJ636,2023-04-22 18:20:00,2023-04-22 19:40:00,Airbus A321,,2338000.0,629000.0,379000.0
11,VJ638,2023-04-22 19:45:00,2023-04-22 21:05:00,Airbus A320,,2838000.0,2120000.0,1655000.0
12,VJ640,2023-04-22 20:35:00,2023-04-22 21:50:00,Airbus A321,,2338000.0,549000.0,299000.0
13,VJ620,2023-04-23 05:35:00,2023-04-23 06:55:00,Airbus A321,,2338000.0,549000.0,299000.0
14,VJ622,2023-04-23 07:05:00,2023-04-23 08:25:00,Airbus A321C,,2338000.0,629000.0,379000.0
15,VJ624,2023-04-23 09:35:00,2023-04-23 10:55:00,Airbus A321,,2338000.0,629000.0,379000.0
16,VJ628,2023-04-23 11:30:00,2023-04-23 12:50:00,Airbus A321,,2338000.0,789000.0,539000.0
17,VJ632,2023-04-23 15:40:00,2023-04-23 17:00:00,Airbus A320,,2338000.0,549000.0,299000.0
18,VJ634,2023-04-23 16:05:00,2023-04-23 17:25:00,Airbus A321,,2338000.0,549000.0,299000.0
19,VJ636,2023-04-23 18:20:00,2023-04-23 19:40:00,Airbus A321,,2338000.0,549000.0,299000.0
20,VJ638,2023-04-23 19:45:00,2023-04-23 21:05:00,Airbus A321,,2338000.0,340000.0,190000.0
21,VJ640,2023-04-23 20:35:00,2023-04-23 21:50:00,Airbus A321,,2338000.0,549000.0,299000.0
22,VJ620,2023-04-24 05:35:00,2023-04-24 06:55:00,Airbus A321,,2338000.0,340000.0,190000.0
23,VJ622,2023-04-24 07:05:00,2023-04-24 08:25:00,Airbus A321C,,2338000.0,629000.0,379000.0
24,VJ624,2023-04-24 09:35:00,2023-04-24 10:55:00,Airbus A321,,2338000.0,709000.0,459000.0
25,VJ628,2023-04-24 11:30:00,2023-04-24 12:50:00,Airbus A321,,2338000.0,709000.0,459000.0
26,VJ632,2023-04-24 15:40:00,2023-04-24 17:00:00,Airbus A320,,2338000.0,340000.0,190000.0
27,VJ634,2023-04-24 16:05:00,2023-04-24 17:25:00,Airbus A321,,2338000.0,340000.0,190000.0
28,VJ636,2023-04-24 18:20:00,2023-04-24 19:40:00,Airbus A321,,2338000.0,340000.0,190000.0
29,VJ638,2023-04-24 19:45:00,2023-04-24 21:05:00,Airbus A321,,2338000.0,340000.0,190000.0
30,VJ640,2023-04-24 20:35:00,2023-04-24 21:50:00,Airbus A321,,2338000.0,340000.0,190000.0
31,VJ620,2023-04-25 05:35:00,2023-04-25 06:55:00,Airbus A321,,2338000.0,340000.0,190000.0
32,VJ622,2023-04-25 07:05:00,2023-04-25 08:25:00,Airbus A321,,2338000.0,340000.0,190000.0
33,VJ624,2023-04-25 09:35:00,2023-04-25 10:55:00,Airbus A321,,2338000.0,549000.0,299000.0
34,VJ628,2023-04-25 11:30:00,2023-04-25 12:50:00,Airbus A320,,2338000.0,1299000.0,949000.0
35,VJ632,2023-04-25 15:40:00,2023-04-25 17:00:00,Airbus A320,,2338000.0,549000.0,299000.0
36,VJ634,2023-04-25 16:05:00,2023-04-25 17:25:00,Airbus A321,,2338000.0,629000.0,379000.0
37,VJ636,2023-04-25 18:20:00,2023-04-25 19:40:00,Airbus A321,,2338000.0,549000.0,299000.0
38,VJ638,2023-04-25 19:45:00,2023-04-25 21:05:00,Airbus A321,,2338000.0,549000.0,299000.0
39,VJ640,2023-04-25 20:35:00,2023-04-25 21:50:00,Airbus A321,,2338000.0,340000.0,190000.0
40,VJ620,2023-04-26 05:35:00,2023-04-26 06:55:00,Airbus A321,,2338000.0,629000.0,379000.0
41,VJ622,2023-04-26 07:05:00,2023-04-26 08:25:00,Airbus A321,,2338000.0,789000.0,539000.0
42,VJ624,2023-04-26 09:35:00,2023-04-26 10:55:00,Airbus A321,,2338000.0,1299000.0,949000.0
43,VJ628,2023-04-26 11:30:00,2023-04-26 12:50:00,Airbus A320,,2338000.0,1509000.0,1159000.0
44,VJ630,2023-04-26 13:35:00,2023-04-26 14:55:00,Airbus A321,,2338000.0,989000.0,699000.0
45,VJ632,2023-04-26 15:40:00,2023-04-26 17:00:00,Airbus A321,,2338000.0,1069000.0,779000.0
46,VJ634,2023-04-26 16:05:00,2023-04-26 17:25:00,Airbus A321,,2338000.0,1069000.0,779000.0
47,VJ636,2023-04-26 18:20:00,2023-04-26 19:40:00,Airbus A321,,2338000.0,1299000.0,949000.0
48,VJ638,2023-04-26 19:45:00,2023-04-26 21:05:00,Airbus A321,,2338000.0,989000.0,699000.0
49,VJ640,2023-04-26 20:35:00,2023-04-26 21:50:00,Airbus A321,,2338000.0,989000.0,699000.0
50,VJ620,2023-04-27 05:35:00,2023-04-27 06:55:00,Airbus A321,,2338000.0,789000.0,539000.0
51,VJ622,2023-04-27 07:05:00,2023-04-27 08:25:00,Airbus A321,,2338000.0,789000.0,539000.0
52,VJ624,2023-04-27 09:35:00,2023-04-27 10:55:00,Airbus A321,,2338000.0,909000.0,619000.0
53,VJ628,2023-04-27 11:30:00,2023-04-27 12:50:00,Airbus A320,,2338000.0,989000.0,699000.0
54,VJ630,2023-04-27 13:35:00,2023-04-27 14:55:00,Airbus A321,,2338000.0,1069000.0,779000.0
55,VJ632,2023-04-27 15:40:00,2023-04-27 17:00:00,Airbus A321,,2338000.0,989000.0,699000.0
56,VJ634,2023-04-27 16:05:00,2023-04-27 17:25:00,Airbus A321,,2338000.0,989000.0,699000.0
57,VJ636,2023-04-27 18:20:00,2023-04-27 19:40:00,Airbus A321,,2338000.0,1219000.0,869000.0
58,VJ638,2023-04-27 19:45:00,2023-04-27 21:05:00,Airbus A320,,2838000.0,1299000.0,949000.0
59,VJ640,2023-04-27 20:35:00,2023-04-27 21:50:00,Airbus A321,,2338000.0,1299000.0,949000.0
60,VJ1624,2023-04-28 05:55:00,2023-04-28 07:15:00,Airbus A320,,2338000.0,2120000.0,1655000.0
61,VJ622,2023-04-28 07:05:00,2023-04-28 08:25:00,Airbus A321,,2838000.0,1939000.0,1489000.0
62,VJ1634,2023-04-28 09:05:00,2023-04-28 10:25:00,Airbus A321,,2838000.0,1509000.0,1159000.0
63,VJ628,2023-04-28 11:30:00,2023-04-28 12:50:00,Airbus A320,,2338000.0,2120000.0,1655000.0
64,VJ630,2023-04-28 13:35:00,2023-04-28 14:55:00,Airbus A321,,2838000.0,1829000.0,1379000.0
65,VJ632,2023-04-28 15:40:00,2023-04-28 17:00:00,Airbus A321,,2338000.0,1939000.0,1489000.0
66,VJ634,2023-04-28 16:05:00,2023-04-28 17:25:00,Airbus A321,,2338000.0,1939000.0,1489000.0
67,VJ636,2023-04-28 18:20:00,2023-04-28 19:40:00,Airbus A321,,,,
68,VJ638,2023-04-28 19:45:00,2023-04-28 21:05:00,Airbus A321,,,,
69,VJ640,2023-04-28 20:35:00,2023-04-28 21:50:00,Airbus A321,,,,
70,VJ644,2023-04-28 21:10:00,2023-04-28 22:30:00,Airbus A321,,2338000.0,2120000.0,1655000.0
71,VJ620,2023-04-29 05:35:00,2023-04-29 06:55:00,Airbus A321,,,,
72,VJ622,2023-04-29 07:05:00,2023-04-29 08:25:00,Airbus A321,,2838000.0,2120000.0,1655000.0
73,VJ624,2023-04-29 09:35:00,2023-04-29 10:55:00,Airbus A321,,,,
74,VJ628,2023-04-29 11:30:00,2023-04-29 12:50:00,Airbus A320,,,,
75,VJ630,2023-04-29 13:35:00,2023-04-29 14:55:00,Airbus A321,,,,
76,VJ632,2023-04-29 15:40:00,2023-04-29 17:00:00,Airbus A321,,2338000.0,2120000.0,1655000.0
77,VJ634,2023-04-29 16:05:00,2023-04-29 17:25:00,Airbus A321,,2338000.0,2120000.0,1655000.0
78,VJ636,2023-04-29 18:20:00,2023-04-29 19:40:00,Airbus A321,,2338000.0,1619000.0,1269000.0
79,VJ638,2023-04-29 19:45:00,2023-04-29 21:05:00,Airbus A321,,2838000.0,1219000.0,869000.0
80,VJ640,2023-04-29 20:35:00,2023-04-29 21:50:00,Airbus A320,,2838000.0,1219000.0,869000.0
81,VJ644,2023-04-29 21:10:00,2023-04-29 22:30:00,Airbus A321,,2338000.0,1069000.0,779000.0
82,VJ620,2023-04-30 05:35:00,2023-04-30 06:55:00,Airbus A321,,2338000.0,909000.0,619000.0
83,VJ622,2023-04-30 07:05:00,2023-04-30 08:25:00,Airbus A321,,2838000.0,989000.0,699000.0
84,VJ1634,2023-04-30 09:05:00,2023-04-30 10:25:00,Airbus A321,,2838000.0,1069000.0,779000.0
85,VJ624,2023-04-30 09:35:00,2023-04-30 10:55:00,Airbus A321,,2338000.0,1069000.0,779000.0
86,VJ628,2023-04-30 11:30:00,2023-04-30 12:50:00,Airbus A320,,2338000.0,1299000.0,949000.0
87,VJ630,2023-04-30 13:35:00,2023-04-30 14:55:00,Airbus A321,,2338000.0,1069000.0,779000.0
88,VJ632,2023-04-30 15:40:00,2023-04-30 17:00:00,Airbus A321,,2338000.0,709000.0,459000.0
89,VJ634,2023-04-30 16:05:00,2023-04-30 17:25:00,Airbus A321,,2338000.0,629000.0,379000.0
90,VJ636,2023-04-30 18:20:00,2023-04-30 19:40:00,Airbus A321,,2338000.0,629000.0,379000.0
91,VJ638,2023-04-30 19:45:00,2023-04-30 21:05:00,Airbus A321,,2338000.0,549000.0,299000.0
92,VJ640,2023-04-30 20:35:00,2023-04-30 21:50:00,Airbus A321,,2338000.0,549000.0,299000.0
93,VJ644,2023-04-30 21:10:00,2023-04-30 22:30:00,Airbus A320,,2838000.0,549000.0,299000.0
94,VJ620,2023-05-01 05:35:00,2023-05-01 06:55:00,Airbus A321,,2338000.0,629000.0,379000.0
95,VJ622,2023-05-01 07:05:00,2023-05-01 08:25:00,Airbus A321,,2838000.0,709000.0,459000.0
96,VJ1634,2023-05-01 09:05:00,2023-05-01 10:25:00,Airbus A321,,2838000.0,549000.0,299000.0
97,VJ624,2023-05-01 09:35:00,2023-05-01 10:55:00,Airbus A321,,2338000.0,709000.0,459000.0
98,VJ628,2023-05-01 11:30:00,2023-05-01 12:50:00,Airbus A320,,2338000.0,909000.0,619000.0
99,VJ630,2023-05-01 13:35:00,2023-05-01 14:55:00,Airbus A321,,2338000.0,709000.0,459000.0
100,VJ632,2023-05-01 15:40:00,2023-05-01 17:00:00,Airbus A321,,2338000.0,340000.0,190000.0
101,VJ634,2023-05-01 16:05:00,2023-05-01 17:25:00,Airbus A321,,2338000.0,340000.0,190000.0
102,VJ636,2023-05-01 18:20:00,2023-05-01 19:40:00,Airbus A321,,2338000.0,340000.0,190000.0
103,VJ638,2023-05-01 19:45:00,2023-05-01 21:05:00,Airbus A321,,2338000.0,340000.0,190000.0
104,VJ640,2023-05-01 20:35:00,2023-05-01 21:50:00,Airbus A321,,2338000.0,200000.0,20000.0
105,VJ644,2023-05-01 21:10:00,2023-05-01 22:30:00,Airbus A321,,2338000.0,200000.0,20000.0
106,VJ620,2023-05-02 05:35:00,2023-05-02 06:55:00,Airbus A321,,2338000.0,200000.0,20000.0
107,VJ622,2023-05-02 07:05:00,2023-05-02 08:25:00,Airbus A321,,2838000.0,340000.0,190000.0
108,VJ1628,2023-05-02 08:05:00,2023-05-02 09:25:00,Airbus A321,,2838000.0,340000.0,190000.0
109,VJ624,2023-05-02 09:35:00,2023-05-02 10:55:00,Airbus A321,,2338000.0,549000.0,299000.0
110,VJ628,2023-05-02 11:30:00,2023-05-02 12:50:00,Airbus A321,,2838000.0,629000.0,379000.0
111,VJ630,2023-05-02 13:35:00,2023-05-02 14:55:00,Airbus A321,,2338000.0,629000.0,379000.0
